F_INTR_ID	T_INTR_ID	SND_ID	SND_FEACOD	CITYCODE	STNAME_ID	ST_CODE	ARTERIAL_C	SEGMENT_TY	AGENCY_COD	ACCESS_COD	DIVIDED_CO	STRUCTURE_	LEGALLOC_C	VEHICLE_US	GIS_SEG_LE	L_ADRS_FRO	L_ADRS_TO	R_ADRS_FRO	R_ADRS_TO	ORD_PRE_DI	ORD_STREET	ORD_STRE_1	ORD_SUF_DI	ORD_STNAME	L_CITY	L_STATE	L_ZIP	R_CITY	R_STATE	R_ZIP	SNDSEG_UPD	COMPKEY	COMPTYPE	UNITID	UNITID2	SHAPE_Leng
9736	9220	45474	9	1	3321	4	4	3	4	1	6	1	3	1	5138.945403	0	0	0	0		SR520 WB			SR520 WB	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	493119	68	9754	15	0.020448474
9220	9330	45499	9	1	3321	4	4	3	4	1	6	1	3	1	6892.492028	0	0	0	0		SR520 WB			SR520 WB	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	493113	68	9754	8	0.02776039
47801	47802	22156	9	1	4284	4	4	4	4	1	6	1	3	1	1373.15781	0	0	0	0		SR520 MONTLAKE OFF	RP		SR520 MONTLAKE OFF RP	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	493112	68	9759	220	0.00543588
9626	9597	18792	5	1	982	2	1	1	2	1	1	1	1	1	234.793576	2447	2453	2446	2452		LAKE WASHINGTON	BLVD	E	LAKE WASHINGTON BLVD E	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	11214	68	8055	244	0.000896172
9220	47801	49041	9	1	3323	4	4	4	4	1	6	1	3	1	4989.574744	0	0	0	0		SR520 WB OFF	RP		SR520 WB OFF RP	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	0	0	0	0	0.020072629
47801	9226	49042	9	1	4224	4	4	4	4	1	6	1	3	1	748.295803	0	0	0	0		SR520 LK WA BLVD OFF	RP		SR520 LK WA BLVD OFF RP	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-12	0	0	0	0	0.002961411
9226	48076	49409	77	1	4286	22	0	8	4	1	1	1	3	2	18754	0	0	0	0		SR520	TRL		SR520 TRL	SEATTLE	WA	98112	SEATTLE	WA	98112	2017-12-13	0	0	0	0	0.075014089
19670	19829	39208	1	0	50	0	0	1	1	1	1	1	1	1	869.30776	11234	11498	11211	11499		14TH	AVE	S	14TH AVE S	BURIEN	WA	98168	BURIEN	WA	98168	2017-11-22	0	0	0	0	0.002383489
20334	20333	39648	1	0	2200	40	0	1	3	1	1	1	1	1	630.176499	2600	2798	2601	2799	S	122ND	ST		S 122ND ST	BURIEN	WA	98168	BURIEN	WA	98168	2017-11-22	0	0	0	0	0.002546764
22083	22085	38218	5	0	2261	0	1	1	1	1	1	1	1	1	1323.496084	132	498	133	215	S	160TH	ST		S 160TH ST	BURIEN	WA	98148	BURIEN	WA	98148	2017-11-21	0	0	0	0	0.00535001
21828	21867	38050	1	0	19	0	0	1	1	1	1	1	1	1	310.656526	15400	15438	15401	15439		11TH	AVE	SW	11TH AVE SW	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-21	0	0	0	0	0.000851678
19848	20034	37172	1	0	154	0	0	1	1	1	1	1	1	1	753.359989	11600	11808	11601	11809		23RD	AVE	SW	23RD AVE SW	BURIEN	WA	98146	BURIEN	WA	98146	2017-11-22	0	0	0	0	0.002066031
22385	22390	38464	1	0	2602	0	0	1	1	1	1	1	1	1	746.990925	2981	3135	2800	3098	SW	170TH	ST		SW 170TH ST	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-22	0	0	0	0	0.002967394
21736	21734	37964	5	0	2574	0	1	1	1	1	1	1	1	1	326.855362	2101	2199	2100	2120	SW	152ND	ST		SW 152ND ST	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-21	0	0	0	0	0.001321326
21869	21900	38075	1	0	19	40	0	1	3	1	1	1	1	1	211.506054	15440	15598	15441	15599		11TH	AVE	SW	11TH AVE SW	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-21	0	0	0	0	0.000605689
21737	21736	37965	5	0	2574	0	1	1	1	1	1	1	1	1	360.312949	2001	2099	2004	2098	SW	152ND	ST		SW 152ND ST	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-21	0	0	0	0	0.001456571
22077	22115	42600	1	0	346	40	0	1	3	1	1	1	1	1	395	16000	16198	16001	16199		3RD	AVE	SW	3RD AVE SW	BURIEN	WA	98166	BURIEN	WA	98166	2017-11-21	0	0	0	0	0.001082918
19543	19584	36933	1	0	213	0	0	1	1	1	1	1	1	1	260.980254	11100	11198	11101	11199		28TH	AVE	SW	28TH AVE SW	SEATTLE	WA	98146	SEATTLE	WA	98146	2017-11-22	0	0	0	0	0.000715475
19629	19827	39206	1	0	28	0	0	1	1	1	1	1	1	1	1029.145396	11200	11498	11201	11499		12TH	AVE	S	12TH AVE S	BURIEN	WA	98168	BURIEN	WA	98168	2017-11-22	0	0	0	0	0.002821505
