OBJECTID,COMPKEY,COMPTYPE,SEGKEY,ELMNTKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,SIGNTYPE,STANDARDTEXT,CATEGORY,FACING,SUPPORT,SUPPORTDESCR,COLOR1,SIGNSZ,REFLECTIVEYN,CUSTOM,CUSTOMTEXT,STARTDAY,ENDDAY,STARTTIME,ENDTIME,Shape
1,98926,20,1813,24789,20,-17,SGN-49701,01-RS,R7-NPN,NO PARKING NORTH OF HERE,PNP,N,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W,12x18,N,N,NO PARKING NORTH OF HERE,1,7,0,2359,"(47.58420299900007, -122.35227494299994)"
2,103380,20,11299,56601,178,19,SGN-53449,01-RS,R7-BUSR,[METRO LOGO] BUS (ROUTES) #26,PBZ,N,MP,Metal Post                                                                                                                                                                                                                                                     ,D/N,12x24,Y,N,[METRO LOGO] BUS (ROUTES) #26,1,7,0,2359,"(47.66692564400006, -122.32565502099999)"
3,103814,20,1030,68929,168,20,SGN-54248,01-RS,R7-STOPS,"NO STOPS, [TOW AWAY ZONE SYMBOL] PH 684-5444",PNS,S,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,R/W,12x18,N,N,"NO STOPS, [TOW AWAY ZONE SYMBOL] PH 684-5444",1,7,0,2359,"(47.62503741200004, -122.35548134499999)"
4,87497,20,9125,31949,362,-30,SGN-39325,01-RS,R7-S,SOUTH OF HERE,PINST,N,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,R/W,12x12,N,N,SOUTH OF HERE,1,7,0,2359,"(47.57210555300003, -122.30843214099997)"
5,87384,20,9110,9174,885,17,SGN-37506,01-RS,R7-NP,NO PARKING ANYTIME,PNP,W,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.53830502400007, -122.39595253299996)"
6,87372,20,9110,9174,445,17,SGN-38661,01-RS,R7-NP,NO PARKING ANYTIME,PNP,N,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.53949249500005, -122.39622645199995)"
7,87346,20,9109,54341,653,-21,SGN-37249,01-RS,R7-NP,NO PARKING ANYTIME,PNP,N,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.54391602600003, -122.39726418599997)"
8,87286,20,9102,9169,73,22,SGN-37262,01-RS,R7-NPN,NO PARKING NORTH OF HERE,PNP,N,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W,12x18,N,N,NO PARKING NORTH OF HERE,1,7,0,2359,"(47.56083302700006, -122.40367318099999)"
9,98619,20,10657,10686,711,-22,SGN-49217,01-RS,R7-BUSR,DGST: R404 (0081) - TXT: *CHG LN 8: 49     ,PBZ,NW,MP,Metal Post                                                                                                                                                                                                                                                     ,D/N,12x24,Y,Y,DGST: R404 (0081) - TXT: *CHG LN 8: 49     ,1,7,0,2359,"(47.562996002000034, -122.38961845999995)"
10,614740,20,20494,65553,251,27,SGN-185776,01-RS,R8-1HRX,1 H PARKING VARIABLE TIMES,PTIML,E,UP,Wood Pole                                                                                                                                                                                                                                                      ,GREEN/WHIT,12x18,N,N,1 H PARKING VARIABLE TIMES,1,6,1000,1800,"(47.59926997900004, -122.31620756199999)"
11,98633,20,10661,10690,110,-17,SGN-49221,01-RS,R7-NP,NO PARKING ANYTIME,PNP,S,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.643450735000044, -122.30110804299994)"
12,614734,20,20494,65553,683,27,SGN-185771,01-RS,R7-PKAPDX,"{1}NO PARKING 7-9AM 3-7PM

EXCEPT SAT-SUN-HOL

TOW-AWAY ZONE

PHONE 684-5444",PPEAK,SE,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,RED,12x18,Y,N,"{1}NO PARKING 7-9AM 3-7PM

EXCEPT SAT-SUN-HOL

TOW-AWAY ZONE

PHONE 684-5444",,,,,"(47.59928191000006, -122.31445826199996)"
13,98607,20,10656,10682,118,-17,SGN-49532,01-RS,R7-S,SOUTH OF HERE,PINST,W,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W,12x12,N,N,SOUTH OF HERE,1,7,0,2359,"(47.64163967800005, -122.37501612299997)"
14,98585,20,10649,33409,526,21,SGN-50727,01-RS,R7-NP,NO PARKING ANYTIME,PNP,N,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.640920719000064, -122.37491167299999)"
15,614691,20,17920,85898,311,-17,SGN-185754,01-RS,R8-DISABLE,"[DISABLED PERSON] STATE DISABLED PARKING PERMIT REQUIRED, TAZ",PDIS,W,TS-5,Telespar Post - 5'                                                                                                                                                                                                                                             ,WHITE/BLUE,12x18,N,,"[DISABLED PERSON] STATE DISABLED PARKING PERMIT REQUIRED, TAZ",1,7,0,2359,"(47.69827796000004, -122.29123142099996)"
16,98573,20,10648,10666,13,-16,SGN-50392,01-RS,R7-WI30,NO PARKING WITHIN 30 FEET,PNP,SE,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W,12x18,N,N,NO PARKING WITHIN 30 FEET,1,7,0,2359,"(47.63841718500004, -122.37272783799995)"
17,87810,20,9160,54381,30,8,SGN-39393,01-RS,R7-MEDIAN,"DGST: R109 (4017) - TXT: *CHG LN 9: IN,MEDIAN,TOW-AWAY,ZONE",PINST,N,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W,12x18,N,Y,"DGST: R109 (4017) - TXT: *CHG LN 9: IN,MEDIAN,TOW-AWAY,ZONE",1,7,0,2359,"(47.53499287200003, -122.29048330599994)"
18,163282,20,12863,12846,280,-25,SGN-107213,01-RS,R7-CLEAN1,"NO PARKING 2-7 AM MON-WED-FRI, STREET CLEANING",PNP,N,SP,Metal Pole                                                                                                                                                                                                                                                     ,RED/WHITE,12x18,N,N,"NO PARKING 2-7 AM MON-WED-FRI, STREET CLEANING",,,200,700,"(47.60714612800007, -122.33254581199998)"
19,87794,20,167708,122810,498,-12,SGN-38329,01-RS,R7-MEDIAN,NO PARKING,PINST,SE,PL,Plastic Post                                                                                                                                                                                                                                                   ,R/W,12x18,N,N,NO PARKING,1,7,0,2359,"(47.53599254400007, -122.29169822099999)"
20,163234,20,8655,8777,295,27,SGN-108878,01-RS,R7-NP,NO PARKING ANYTIME,PNP,S,SP,Metal Pole                                                                                                                                                                                                                                                     ,R/W, ,N,N,NO PARKING ANYTIME,1,7,0,2359,"(47.59258156800007, -122.32390416499999)"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
